"","statename","state.x","orientation","identity","overall","totalpop","popper","ideology","evanrate"
"1","alabama","AL",2.5,-2.5,0,103533,2.8,19.0589,428.404859038143
"2","alaska","AK",4.25,0.75,5,18505,3.4,35.44347,106.612261904762
"3","arizona","AZ",5,-1.75,3.25,192362,3.9,3.017494,87.2814074074074
"4","arkansas","AR",4,-1.5,2.5,78339,3.5,48.89912,406.575866666667
"5","california","CA",16,14.25,30.25,1152048,4,87.42805,88.8311111111111
"6","colorado","CO",13.5,9.25,22.75,126599,3.2,72.44034,138.46476702509
"7","connecticut","CT",12.75,11.25,24,95091,3.4,82.98675,36.6008333333333
"8","delaware","DE",10,6,16,24209,3.4,76.57413,79.3466666666667
"9","florida","FL",5.5,1.25,6.75,536028,3.5,11.33699,213.692968490879
"10","georgia","GA",4,-3.5,0.5,260044,3.5,3.120583,331.853822501747
"11","hawaii","HI",10,5.5,15.5,55554,5.1,84.90182,93.2794444444445
"12","idaho","ID",4.25,-0.5,3.75,31565,2.7,8.784706,88.6502067183463
"13","illinois","IL",12.5,9.75,22.25,372825,3.8,83.17535,218.455468409586
"14","indiana","IN",4.75,0.25,5,182997,3.7,10.24458,191.382657004831
"15","iowa","IA",10.5,2.5,13,65835,2.8,34.38456,140.747766554433
"16","kansas","KS",4.75,-0.25,4.5,79979,3.7,5.382538,191.848603174603
"17","kentucky","KY",5.75,-1.25,4.5,131125,3.9,62.28866,376.608509259259
"18","louisiana","LA",3.5,-2.5,1,111491,3.2,14.02937,288.928940972222
"19","maine","ME",15,7,22,51037,4.8,67.13589,44.9495138888889
"20","maryland","MD",12,8,20,149845,3.3,85.86098,112.250648148148
"21","massachusetts","MA",14.25,9,23.25,230768,4.4,91.44836,29.9
"22","michigan","MI",3.25,-0.25,3,289427,3.8,11.17324,123.475970548862
"23","minnesota","MN",12.5,9.25,21.75,118987,2.9,78.16688,164.000127713921
"24","mississippi","MS",1,0,1,58229,2.6,26.71607,404.468617886179
"25","missouri","MO",4.25,-2.75,1.5,152411,3.3,47.5989,319.61645410628
"26","montana","MT",4.5,-2.5,2,20362,2.6,43.46445,124.105575757576
"27","nebraska","NE",4,-1.75,2.25,37587,2.7,15.68043,192.774004884005
"28","nevada","NV",11,6.75,17.75,88005,4.2,42.92275,80.8477777777778
"29","new hampshire","NH",8.75,1.25,10,38697,3.7,66.01801,30.9294444444444
"30","new jersey","NJ",16,8.5,24.5,253014,3.7,54.12435,47.6656084656085
"31","new mexico","NM",11,4.5,15.5,45562,2.9,40.63606,164.846936026936
"32","new york","NY",14,8.25,22.25,581670,3.8,81.15486,46.4648387096774
"33","north carolina","NC",4.75,-1.75,3,246363,3.3,6.652,298.715277777778
"34","north dakota","ND",3.25,-1.75,1.5,9265,1.7,26.91266,138.420577777778
"35","ohio","OH",4,0.25,4.25,319700,3.6,11.85876,141.719116161616
"36","oklahoma","OK",4,-2.5,1.5,97834,3.4,8.748428,483.066118326118
"37","oregon","OR",15.75,12.25,28,148898,4.9,78.4631,109.155185185185
"38","pennsylvania","PA",5.75,0.25,6,270652,2.7,27.45595,95.4725538971808
"39","rhode island","RI",14.5,12.5,27,37522,4.5,86.80602,20.4655555555556
"40","south carolina","SC",3,-1.5,1.5,105665,2.9,0,292.958285024155
"41","south dakota","SD",3,-0.5,2.5,27684,4.4,22.85037,150.76758974359
"42","tennessee","TN",4,-3.5,0.5,129018,2.6,10.68607,397.658081871345
"43","texas","TX",4.75,-0.75,4,629428,3.3,6.972298,352.961721563461
"44","utah","UT",6,2,8,53118,2.7,6.316856,25.6111574074074
"45","vermont","VT",13.5,12.75,26.25,24601,4.9,90.08125,32.2961111111111
"46","virginia","VA",2.75,-0.25,2.5,183545,2.9,51.35262,251.01763681592
"47","washington","WA",14,12.5,26.5,212482,4,74.91856,114.988632478633
"48","west virginia","WV",4.5,0,4.5,45613,3.1,72.81754,126.217333333333
"49","wisconsin","WI",11.5,-0.75,10.75,123448,2.8,6.107903,144.895740740741
"50","wyoming","WY",4,-1.5,2.5,12787,2.9,5.145569,103.198647342995
